team,unspsc
Machinery Equipment,Horizontal machining center
Machinery Equipment,Multi-tasking or universal machining center
Machinery Equipment,Vertical machining center
Machinery Equipment,Metal milling machines
Machinery Equipment,Bed milling machine
Machinery Equipment,Bridge milling machine
Machinery Equipment,Column and knee milling machine
Machinery Equipment,Gantry milling machine
Machinery Equipment,Profiling and duplicating milling machine
Machinery Equipment,Traveling column milling machine
Machinery Equipment,Universal milling machine
Machinery Equipment,Copy milling machine
Machinery Equipment,Turret milling machine
Machinery Equipment,Planer style milling machine
Machinery Equipment,Machine end mill
Machinery Equipment,Specialized or miscellaneous metal cutting machines
Machinery Equipment,Metal deburring machines
Machinery Equipment,Shot blasting machine
Machinery Equipment,Thermal energy deburring machine
Machinery Equipment,Vibratory or barrel finishing machine
Machinery Equipment,Terminal insertion machine
Machinery Equipment,Metal bending machines
Machinery Equipment,Forging machines
Machinery Equipment,Stamping die
Machinery Equipment,Coating machines
Machinery Equipment,Adhesive or glue application systems
Machinery Equipment,Injection molding machines
Machinery Equipment,Induction heating machine
Machinery Equipment,Heat treating age hardening furnace
Machinery Equipment,Furnaces
Machinery Equipment,Brazing machinery
Machinery Equipment,Tube mill machinery
Machinery Equipment,Winding or reeling or spooling machines
Machinery Equipment,Laser marking machine
Machinery Equipment,Laser welding machine
Machinery Equipment,Washing machinery
Machinery Equipment,Fixturing and test equipment
Machinery Equipment,Equipment test calibration or repair
Machinery Equipment,Measuring and observing and testing instruments
Machinery Equipment,Weight measuring instruments
Machinery Equipment,Length and thickness and distance measuring instruments
Machinery Equipment,Viewing and observing instruments and accessories
Machinery Equipment,Non destructive examination equipment
Machinery Equipment,Indicating and recording instruments
Machinery Equipment,Transducers
Machinery Equipment,Temperature and heat measuring instruments
Machinery Equipment,Humidity and moisture measuring instruments
Machinery Equipment,Electrical measuring and testing equipment and accessories
Machinery Equipment,Functional tester
Machinery Equipment,Ring out board
Machinery Equipment,Wire assembly board
Machinery Equipment,Fixturing and test equipment
Machinery Equipment,Coordinate measuring machines CMM
Machinery Equipment,Specialty assembly
Machinery Equipment,Custom assembly fixtures or tooling
Machinery Equipment,Plastic injection molds
Machinery Equipment,Ultrasonic welding machine
Machinery Equipment,Wire and cable assembly machine
Machinery Equipment,Wire and cable cutting and terminal assembly equipment
Machinery Equipment,Wire and cable cutting and terminal assembly equipment
Machinery Equipment,Wire and cable cutting and terminal assembly equipment
Consumables,Corrugated and other supplies for distribution
Consumables,Foaming agents
Consumables,Packaging machinery
Consumables,Wrapping machinery
Consumables,Taping machines
Consumables,Containers and storage
Consumables,Bags
Consumables,Pallets
Consumables,Freight containers
Consumables,Crates
Consumables,Boxes
Consumables,Packing supplies
Consumables,Stretch wrap films
Consumables,Shrink wrap films
Consumables,Tamper proof or security seals
Consumables,Carton corner support
Consumables,Dessicant
Consumables,Polyfilm
Consumables,Separator sheet
Consumables,Steel packing band or strapping
Consumables,Non metal packing band or strapping
Consumables,Bubble wrap
Consumables,Cushioning
Consumables,Air filled packing materials
Consumables,Packing peanuts
Consumables,Cardboard inserts
Consumables,Paper tubes or cores
Consumables,Tube or core end plugs
Consumables,Printed inserts or instructions
Consumables,Spool
Consumables,Reel
Consumables,Packaging tape
Consumables,Label applying machines
Consumables,Conveyors and accessories
Consumables,Storage racks or shelves
Consumables,Bookshelf accessory
Consumables,Non metallic bins
Consumables,Material handling racks
Consumables,Corrugated slip sheet
Consumables,Fiberboard or solid kraftboard slip sheet
Consumables,Plastic slip sheet
Consumables,Weight measuring instruments
Consumables,Bench scales
Consumables,Floor or platform scales
Consumables,Conveyor weighting scale
Consumables,Automatic packer scale
Consumables,Non metallic bins
Consumables,Plastic pallet
Consumables,Packaging trays
Consumables,Label dispensers
Consumables,Printer ribbon
Consumables,Thermal ribbon
Consumables,Self adhesive labels
Consumables,Packaging labels
Consumables,Undefined - No Strategy Exists
